Sentence,Emotion
"She was very pleased with Tiny, so she said, ""You are quite welcome to stay with me all the winter, if you like; but you must keep my rooms clean and neat, and tell me stories, for I shall like to hear them very much.""",4
"And Tiny did all the field-mouse asked her, and found herself very comfortable.",4
"It made little Tiny very sad to see it, she did so love the little birds; all the summer they had sung and twittered for her so beautifully.",6
"Then she laid her head on the bird's breast, but she was alarmed immediately, for it seemed as if something inside the bird went ""thump, thump.""",7
"Tiny trembled very much; she was quite frightened, for the bird was large, a great deal larger than herself,- she was only an inch high.",3
"The whole winter the swallow remained underground, and Tiny nursed him with care and love.",4
"Tiny looked after him, and the tears rose in her eyes.",6
"""Tweet, tweet,"" sang the bird, as he flew out into the green woods, and Tiny felt very sad.",6
But Tiny was not at all pleased; for she did not like the tiresome mole.,6
"Then Tiny wept, and said she would not marry the disagreeable mole.",6
"The poor child was very unhappy at the thought of saying farewell to the beautiful sun, and as the field-mouse had given her permission to stand at the door, she went to look at it once more.",6
"As soon as he spied Tiny, he was delighted; and then she told him how unwilling she felt to marry the ugly mole, and to live always beneath the earth, and never to see the bright sun any more.",4
And as she told him she wept.,6
"""That will be delightful,"" she said, and clapped her little hands for joy.",4
"The little prince was at first quite frightened at the bird, who was like a giant, compared to such a delicate little creature as himself; but when he saw Tiny, he was delighted, and thought her the prettiest little maiden he had ever seen.",4
"But I am fragrant with perfume, for close to my gates most lovely roses bloom.""",4
"The old washerwoman put her head in at the door, and nodded to him quite kindly, and said, ""Many thanks, you good child, for your help yesterday.",4
"""I know where it blooms,"" said a happy mother, who came with her lovely child to the bedside of the queen.",4
"She wept over it, kissed it, and prayed for it as only a mother can pray in that hour of her anguish.""",6
"Tears stood in his eyes, and glistened on his cheeks; he carried a great book and the binding was of velvet, with silver clasps.",6
He seemed a merry fellow.,4
"He looked very jovial, did little work, and had the more holidays.",4
"How pretty she was! and such a singer! not a theatre singer, nor a ballad singer; no, but a singer of the woods; for she wandered through the gay green forest, and had a concert there for her own amusement.",4
"He was hungry and thirsty, yet no one gave him anything; and when it became dark, and they were about to close the gardens, the porter turned him out.",6
The little boy said not a word; he was half pleased and half afraid.,4
"One glory eclipsed another; yet there was one picture that fixed itself on the little boy's memory, more especially because of the happy children it represented, for these the little boy had seen in daylight.",4
"The boy raised his hands towards the smiling children, and then the Pig ran off with him through the open vestibule.",4
"Fear and trembling came upon him as he thought of his mother; she had sent him out the day before to get some money, he had not done so, and now he was hungry and thirsty.",3
"Here everything was bright, and the boy knelt down by the first tomb on his right, the grave of Michael Angelo, and sobbed as if his heart would break.",6
"Hunger and thirst overpowered the child, and he became quite faint and ill.",6
"A little homely bed was prepared for him, but to him who had so often slept on the hard stones it was a royal couch, and he slept sweetly and dreamed of the splendid pictures and of the Metal Pig.",4
"He wept at the thought, and then he played with the little, lively dog, and kissed it, while the old woman looked kindly at him to encourage him.",6
"So the boy stayed with them, and the woman herself taught him to sew; and he ate well, and slept well, and became very merry.",4
"They stopped before the picture by Bronzino, in which Christ is represented as standing in the lower world, with the children smiling before Him, in the sweet expectation of entering heaven; and the poor boy smiled, too, for here was his heaven.",4
A fiery dragon could not have frightened the little boy so much as did the little dog in this place.,3
"Giuseppe went off at once, while his wife lamented, and the boy wept.",6
"Then there was great rejoicing, and the painter caressed the boy, and gave him a number of pictures.",4
"Certainly it was rather crooked, rather up and down, one leg thick, and another thin; still it was like the copy, and he was overjoyed at what he had done.",4
"He knew very well that he had enough inside him to buy up all the other toys, and this gave him a very good opinion of his own value.",4
"The doll, whose neck had been darned, was so excited that the place in her neck burst, and the money-pig declared he must do something for one of the players, as they had all pleased him so much.",4
"The sun shone among the delicate leaves; everything breathed forth the loveliest fragrance, and all felt as we do when we are filled with joy at the thought of our happiness.",4
"I am heartily tired of such neighbours.""",2
"""We make it lively about the house,"" said the sparrow-mother; ""and people say that a swallows' nest brings luck; so they are glad of us.",4
"But they were very pleased with it, and wondered whether all the little sparrows could become nightingales.",4
The horse-hair was drawn tightly round her leg- as tightly as if the latter were to be cut off; she was in great pain and terror.,3
"He was a merry old man, always wandering about.",4
At these words an icy shudder ran through the sparrow-mother.,3
"But she, trembling in every limb, did not think of the adornment.",3
"""Now you will see the gold-jacket fly,"" said the old man, letting the sparrow go, which flew away in deadly fear, with the sun shining upon her.",3
"All the sparrows, and even a crow- and an old boy he was too- were startled at the sight; but still they flew after her to learn what kind of strange bird she was.",7
"Driven by fear and horror, she flew homeward; she was almost sinking fainting to the earth, while the flock of pursuing birds increased, some even attempting to peck at her.",3
"Then they all got excited; they hit out with their wings, pecked with their beaks, and flop! one after another was thrown out of the nest.",2
"There they lay with their anger, holding their heads on one side and blinking the eye that was turned upwards.",2
And the eyes of all sparkled with malice.,2
The roses nodded; they recognized their grey neighbours and were pleased to see them again.,4
"The books travelled all over the world, and some of them came into the hands of the emperor; and he sat in his golden chair, and, as he read, he nodded his approval every moment, for it pleased him to find such a beautiful description of his city, his palace, and his gardens.",4
"Then the tears come into my eyes, and it is just as if my mother kissed me.""",4
"""With the greatest pleasure,"" said the nightingale, and began to sing most delightfully.",4
"The nightingale sang so sweetly that the tears came into the emperor's eyes, and then rolled down his cheeks, as her song became still more touching and went to every one's heart.",4
"The emperor was so delighted that he declared the nightingale should have his gold slipper to wear round her neck, but she declined the honor with thanks: she had been sufficiently rewarded already.",4
"So a year passed, and the emperor, the court, and all the other Chinese knew every little turn in the artificial bird's song; and for that same reason it pleased them better.",4
"Now there was great sorrow, as the bird could only be allowed to play once a year; and even that was dangerous for the works inside it.",6
"Cold and pale lay the emperor in his royal bed; the whole court thought he was dead, and every one ran away to pay homage to his successor.",6
These are the jewels that rejoice a singer's heart.,4
"I will sit on a bough outside your window, in the evening, and sing to you, so that you may be happy, and have thoughts full of joy.",4
"The servants now came in to look after the dead emperor; when, lo! there he stood, and, to their astonishment, said, ""Good morning.""",7
"She said this merrily, for she was the best of the hens, and, moreover, as had been said, very respectable.",4
"If I were a cock, I should despise her.""",2
"The hen who had lost the loose little feather naturally did not recognise her own story, and being a respectable hen, said: ""I despise those fowls; but there are more of that kind.",2
He's angry to-day.,2
"""'Could I but have my love, Who then so happy as Glove!",4
"And so it was with Anthony; often the scalding tears, like pearly drops, would fall from his eyes to the coverlet and roll on the floor with a sound as if one of his heartstrings had broken.",6
"If he dried his eyes with his nightcap, then the tear and the picture would be crushed; but the source of the tears remained and welled up again in his heart.",6
"Then they got a flower-pot, filled it with earth, and were soon both very busy and eager about it.",4
"And Molly and Anthony both wept, but these tears all flowed together into one tear which had the rosy shimmer of joy.",6
One stanza pleased him exceedingly-,4
"Hot iron and cold iron alike take the skin from our lips, and we feel the same sensation if we kiss either; and Anthony's kiss was now the kiss of hatred, as it had once been the kiss of love.",2
"Sorrow and suffering deprived Anthony's father of his strength, so that he had something else to think of besides nursing his love-sorrows and his anger against Molly.",6
How much came back to his remembrance as he looked through the tears once more on his native town!,6
"There lay the old bachelor, forsaken by all, and unable to help himself.",6
"The fragrant leaves of the tree fell upon him and cooled his burning brow; upon his parched lips they seemed like refreshing bread and wine; and as they rested on his breast, a peaceful calm stole over him, and he felt inclined to sleep.",4
"In that solemn hour the sweet and joyous chiming filled the hearts of those in the humble dwelling with thankfulness and trust; and when, amidst these joyous sounds, a little son was born to them, the words of prayer and praise arose from their overflowing hearts, and their happiness seemed to ring out over town and country in the liquid tones of the church bells' chime.",4
"Its parents kissed it lovingly, and the father wrote these words in the Bible, ""On the tenth of November, 1759, God sent us a son.""",4
"He and his sister, two years older than himself, had often wept scalding tears over the story of Him who suffered death on the cross for us all.",6
"His mother also told him how the chiming of that old bell had once filled her heart with joy and confidence, and that in the midst of the sweet tones her child had been given to her.",4
"A record of this bright display will live in the memory of man, for through it the pupil in the military school was in tears and sorrow.",6
"Dark days and cold nights also passed over the old bell, and it noticed them not; but the bell in the man's heart felt it to be a gloomy time.",6
"The corpse lay in a bedroom, near to the one in which we sat, and the old man was in great distress and weeping like a child.",6
"He spoke to my father, and to a few neighbors who were there, of how lonely he should feel now she was gone, and how good and true she, his dead wife, had been during the number of years that they had passed through life together, and how they had become acquainted, and learnt to love each other.",6
"And then he talked of his wedding-day; and his eyes brightened, and he seemed to be carried back, by his words, to that joyful time.",4
"And the old attendant nodded and looked very pleased, and then he carried the tin soldier into the house.",4
"""Oh,"" replied the old man, ""I have pleasant thoughts of all that has passed, recalled by memory; and now you are come to visit me, and that is very pleasant.""",4
"""I cannot endure it,"" said the tin soldier, who stood on a shelf, ""it is so lonely and dull here.",6
"Then the old man came back with a pleasant face; and brought with him beautiful preserved fruits, as well as apples and nuts; and the little boy thought no more of the tin soldier.",4
"How happy and delighted the little boy was; and after he returned home, and while days and weeks passed, a great deal of nodding took place from one house to the other, and then the little boy went to pay another visit.",4
"""I cannot bear it any longer,"" said the tin soldier; ""I have wept tears of tin, it is so melancholy here.",6
"Then he looked at the picture he had bought at the broker's, and his eyes sparkled brightly as he nodded at it, and said, ""Ah, she could sing that tune.""",4
"The sparrows assembled in dozens upon the wild vines, and chattered all together as loud as they could, but not about the old house; none of them could remember it, for many years had passed by, so many indeed, that the little boy was now a man, and a really good man too, and his parents were very proud of him.",4
"""Let me see him,"" said the young man, and then he smiled and shook his head, and said, ""It can scarcely be the same, but it reminds me of something that happened to one of my tin soldiers when I was a little boy.""",4
"""Yes, terribly lonely,"" cried the tin soldier; ""still it is delightful not to be forgotten.""",4
"He bent his head mournfully, and sighed in deep sorrow, as an unquiet spirit might sigh.",6
"Song doth not carry them forth over the lands, nor into the hearts of men; therefore I have no rest and no peace.""",6
Then the face of the dead one gleamed like the margin of the cloud in the moonlight.,4
How sweetly they sing there; it is quite a pleasure to listen to them!,4
"""Well, then, why do you lie in my way?"" she retorted, ""you must not be so touchy.",2
"I have nerves of my own, but I do not cry 'tweet.'""",2
"When madam awoke afterwards, there he stood before her with a little corn he had found, and laid it at her feet; but as she had not slept well, she was naturally in a bad temper.",2
"Don't stand there, looking so stupid.""",2
"""Impertinent creature!"" exclaimed the Portuguese duck: ""would you compare me with the cat- that beast of prey?",2
"""You'll kill me with your crowing,"" she cried, ""it's all your fault.",2
"""We shall never have another singing-bird again amongst us; he was almost a Chinese,"" they whispered, and then they wept with such a noisy, clucking sound, that all the other fowls clucked too, but the ducks went about with redder eyes afterwards.",6
"""Justice must still be carried out, even when one has relations and good friends among the prize committee; but that the snail should have received the second prize, I consider almost an insult to myself"" ""No,"" said the fence-rail, who had been a witness at the distribution of prizes; ""there should be some consideration for industry and perseverance.",2
"But I do not understand chattering and boasting; on the contrary, I despise it.""",2
And the snail spat at them with contempt.,2
"She was frightened, and wanted to throw the red shoes away; but they stuck fast.",3
"""Mercy!"" cried Karen.",3
"And she went quickly up to the church-door; but when she came there, the red shoes were dancing before her, and she was frightened, and turned back.",3
"During the whole week she was sad and wept many bitter tears, but when Sunday came again she said: ""Now I have suffered and striven enough.",6
"Then she became terrified, and turned back and repented right heartily of her sin.",3
"On the following Sunday they all went to church, and she was asked whether she wished to go too; but, with tears in her eyes, she looked sadly at her crutches.",6
"Here she sat down with her hymn-book, and as she was reading it with a pious mind, the wind carried the notes of the organ over to her from the church, and in tears she lifted up her face and said: ""O God! help me!""",6
"""What! is he going to propose to me?"" said the scissors, and she became so angry that she cut too sharply into the shirt collar, and it was obliged to be thrown by as useless.",2
"""Summer cannot show a more beautiful sight,"" she exclaimed, while her eyes sparkled.",4
"The girl laughed, and nodded at the Snow Man, and then tripped away over the snow with her friend.",4
"""But we are very much frightened,"" said the young storks, and they drew back their heads into the nests.",3
"""Oh, o- h!"" cried the young storks.",7
"The young storks were very angry, and grew worse as they grew older; so at last their mother was obliged to promise that they should be revenged, but not until the day of their departure.",2
"The emperor ordered them to be carried into the great hall where the princess was just playing ""Visitors are coming"" with her ladies-in-waiting; when she saw the large cases with the presents therein, she clapped her hands for joy.",4
"""You are right,"" said the emperor, and began to cry like a little child.",6
"When the princess with her ladies passed by and heard the tune, she stopped and looked quite pleased, for she also could play it- in fact, it was the only tune she could play, and she played it with one finger.",4
That was a pleasure!,4
The ladies danced and clapped their hands for joy.,4
"""Go out of my sight,"" said the emperor, for he was very angry; and both the princess and the swineherd were banished from the empire.",2
"There she stood and cried, the swineherd scolded her, and the rain came down in torrents.",6
"Oh, how wretched I am!""",6
"""Ugh, you beast!"" said the farm laborer who emptied the bucket, when he saw the toad.",2
She was glad that in her ugliness she had frightened the fowls.,4
"Yes, I shall get to Egypt, for I feel so happy!",4
"Far in the interior of the wood, where a noisy swarm of laborers were working, stood Waldemar Daa and his three daughters, and all were laughing at the wild cries of the birds, excepting one, the youngest, Anna Dorothea, who felt grieved to the heart; and when they made preparations to fell a tree that was almost dead, and on whose naked branches the black stork had built her nest, she saw the poor little things stretching out their necks, and she begged for mercy for them, with the tears in her eyes.",6
"Ida and Anna Dorothea wept bitterly, Joanna stood, pale and proud, biting her lips till the blood came; but what could that avail?",6
I suppose he is under the ground now; and Ida- alas! alas! it is not ended yet; miserable that I am!,6
"However, he passed a very pleasant time; went to the theatre, drove in the king's garden, and gave a great deal of money to the poor, which was very good of him; he remembered what it had been in olden times to be without a shilling.",4
"Now he was rich, had fine clothes, and many friends, who all declared he was a fine fellow and a real gentleman, and all this gratified him exceedingly.",4
"""And here is one, and there is another!"" they all exclaimed; for there were crosses on all the doors in every direction.",7
"The shoemaker's boy liked the idea of getting the four shillings, so he ran very fast and fetched the tinder-box, and gave it to the soldier.",4
"The princess came out of the copper castle, and became queen, which was very pleasing to her.",4
"It touched the tin soldier so much to see her that he almost wept tin tears, but he kept them back.",4
"But the ball, which wore a dress of morocco leather, and thought as much of herself as any other young lady, would not even condescend to reply.",2
"""I know very well where she is,"" sighed the top; ""she is in the swallow's nest, and has married the swallow.""",6
"""Ah,"" she exclaimed, ""here is a gilt top.""",7
"The duck stared at it and exclaimed, ""It is very large and not at all like the others.",7
"""He is too big,"" they all said, and the turkey cock, who had been born into the world with spurs, and fancied himself really an emperor, puffed himself out like a vessel in full sail, and flew at the duckling, and became quite red in the head with passion, so that the poor little thing did not know where to go, and was quite miserable because he was so ugly and laughed at by the whole farmyard.",6
"Here he remained the whole night, feeling very tired and sorrowful.",6
How they terrified the poor duckling!,3
"She laid good eggs, and her mistress loved her as if she had been her own child.",4
"So the duckling sat in a corner, feeling very low spirited, till the sunshine and the fresh air came into the room through the open door, and then he began to feel such a great longing for a swim on the water, that he could not help telling the hen.",6
All this was very sad for the poor little duckling.,6
The duckling had never seen any like them before.,7
"Could he ever forget those beautiful, happy birds; and when at last they were out of his sight, he dived under the water, and rose again almost beside himself with excitement.",4
"The warmth revived the poor little creature; but when the children wanted to play with him, the duckling thought they would do him some harm; so he started up in terror, fluttered into the milk-pan, and splashed the milk about the room.",3
"Then the woman clapped her hands, which frightened him still more.",3
"The duckling remembered the lovely birds, and felt more strangely unhappy than ever.",6
"He now felt glad at having suffered sorrow and trouble, because it enabled him to enjoy so much better all the pleasure and happiness around him; for the great swans swam round the new-comer, and stroked his neck with their beaks, as a welcome.",4
"""See,"" cried the youngest, ""there is a new one;"" and the rest were delighted, and ran to their father and mother, dancing and clapping their hands, and shouting joyously, ""There is another swan come; a new one has arrived.""",4
"Then he rustled his feathers, curved his slender neck, and cried joyfully, from the depths of his heart, ""I never dreamed of such happiness as this, while I was an ugly duckling.""",4
"At last the prince had his own statue erected on the public places and fixed on the royal palaces; nay, he even wished it to be placed in the churches, on the altars, but in this the priests opposed him, saying: ""Prince, you are mighty indeed, but God's power is much greater than yours; we dare not obey your orders.""",2
"They buzzed round the prince and stung his face and hands; angrily he drew his sword and brandished it, but he only touched the air and did not hit the gnats.",2
"Mad with pain, he tore off the coverings and his clothes too, flinging them far away, and danced about before the eyes of his ferocious soldiers, who now mocked at him, the mad prince, who wished to make war with God, and was overcome by a single little gnat.",2
"He looked around on every side and exclaimed, ""Oh, heavens, where am ",7
"Then he got up and clambered out of the cave, went into the forest, and thought, ""Here I am quite alone and deserted, how shall I obtain a horse no",6
"""Alas, thou canst not help m",6
"They leapt nimbly upstairs and downstairs, and were merry and hap",4
"Then she opened the door of the small house, and when she had opened it, there stood twelve horses, such horses, so bright and shining, that his heart rejoiced at the sight of th",4
"Then they laughed and said, ""Indeed, stupid Hans, where wilt thou get a hors",2
"Hans went into the parlour, but the miller said he should not sit down to table, for he was so ragged and torn, that they would all be ashamed of him if any one came ",2
"In the morning when he awoke, the three days had passed, and a coach came with six horses and they shone so bright that it was delightful to see them! and a servant brought a seventh as well, which was for the poor miller""s b",4
"So she ordered the servant to bring the seventh horse, and when the miller saw it, he said that such a horse as that had never yet entered his ya",7
"The little tailor did not let himself be frightened away, but was quite delighted, and said, ""Boldly ventured is half wo",4
"""Eh!"" thought he, ""what a stupid blockhead I ",2
"When the bear heard the music, he could not help beginning to dance, and when he had danced a while, the thing pleased him so well that he said to the little tailor, ""Hark you, is the fiddle heav",4
"Then a vise was brought, and the bear put his claws in it, and the little tailor screwed it tight, and said, ""Now wait until I come with the scissors,"" and he let the bear growl as he liked, and lay down in the corner on a bundle of straw, and fell asle",2
The bear in great fury ran after the carria,2
"The princess heard him snorting and growling; she was terrified, and she cried, ""Ah, the bear is behind us and wants to get the",3
"The tailor drove quietly to church, and the princess was married to him at once, and he lived with her as happy as a woodla",4
"They walked the whole day over meadows, fields, and stony places; and when it rained the little sister said, ""Heaven and our hearts are weeping togethe",6
"In the evening they came to a large forest, and they were so weary with sorrow and hunger and the long walk, that they lay down in a hollow tree and fell asle",6
"And now the sister wept over her poor bewitched brother, and the little roe wept also, and sat sorrowfully near to h",6
"The little sister, however, was dreadfully frightened when she saw that her fawn was hu",3
"The maiden was frightened when she saw, not her little roe, but a man come in who wore a golden crown upon his he",3
"Now when she heard that they were so happy, and so well off, envy and hatred rose in her heart and left her no peace, and she thought of nothing but how she could bring them again to misfortu",2
"The King said, ""Ah, heavens! what is th",7
"""Good heavens!"" said the girl, ""no strawberries grow in wint",7
"In her joy she hastily gathered her basket full, thanked the little men, shook hands with each of them, and ran home to take her step-mother what she had longed for so mu",4
"""Now look at her arrogance,"" cried the step-sister, ""to throw about gold in that way!"" but she was secretly envious of it, and wanted to go into the forest also to seek strawberri",2
"""Hum",2
"The maiden looked for strawberries outside, but as she found none, she went angrily ho",2
"Then the step-mother was still more enraged, and thought of nothing but how to do every possible injury to the man""s daughter, whose beauty, however, grew daily great",2
"""Ah, yes, with all my heart,"" she answered, for she was glad to get away from the mother and sist",4
"Thereupon the King was full of great joy, but he kept the Queen hidden in a chamber until the Sunday, when the baby was to be christen",4
"Night fell, and nothing was left for him to do, but to seek a bed in this painful solitu",6
"He might certainly have found a good bed on the soft moss, but the fear of wild beasts let him have no rest there, and at last he was forced to make up his mind to spend the night in a tr",3
"""Who are you, and what do you want?"" asked the man in a grumbling voi",2
"""Go your way,"" replied the old man in a surly voice, ""I will have nothing to do with runagates; seek for yourself a shelter elsewher",2
"The tailor, who had watched the fight with astonishment, was still standing there motionless, when the stag in full career bounded up to him, and before he could escape, caught him up on his great hor",7
"The tailor was looking at the beauty with beating heart, when she suddenly opened her eyes, and started up at the sight of him in joyful terr",4
"We loved each other so tenderly, and were so alike in our way of thinking and our inclinations, that we both embraced the resolution never to marry, but to stay together to the end of our liv",4
"As I could not conceive from whence it came, I wanted to summon my waiting-maid who slept in the next room, but to my astonishment I found that speech was taken away from me by an unknown for",7
"My repugnance to his magic arts was, however, so great, that I vouchsafed him no answ",2
"I asked him where he had left my brother, and how he had come by this stag, out of whose great eyes I saw tears flowi",6
"I fell into a great rage at this, pulled out a pistol and discharged it at the monster; but the ball rebounded from his breast and went into my horse""s he",2
"Amongst the visions which passed before my eyes, that was the most comforting in which a young man came and set me free, and when I opened my eyes to-day I saw thee, and beheld my dream fulfill",4
"Her joy was still more increased when her brother, who had killed the magician in the form of the bull, came out of the forest towards them in his human form, and on the self-same day the maiden, in accordance with her promise, gave her hand at the altar to the lucky tail",4
"So the father gave him his blessing, and with great sorrow took leave of h",6
"""But dost thou know what thou must promise?"" said the Ki",7
"The King came down himself and opened the door, and there he found both strong and well, and rejoiced with them that now all sorrow was ov",4
"He was astonished when he saw them come alone, and asked what had happened to th",7
"And the Queen, when she had received the letter and read it, did as was written in it, and had a splendid wedding-feast prepared, and the King""s daughter was married to the luck-child, and as the youth was handsome and agreeable she lived with him in joy and contentme",4
His grandmother scolded h,2
"""Oh!"" cried the devil, ""what are you doin",7
"""Ha! what are you doing?"" cried the devil angri",2
"The devil jumped up, roared out, and would have treated her ill if she had not quieted him once more and said, ""Who can help bad dream",2
"""Oh, ho!"" said the spring, ""then I will begin to flow,"" and began to flow violent",7
"The sight of this made the tailor so angry that he laid hold of the golden footstool, and threw it down to earth through heaven, at the old thi",2
"One morning the wood-cutter went out sorrowfully to his work in the forest, and while he was cutting wood, suddenly there stood before him a tall and beautiful woman with a crown of shining stars on her head, who said to him, ""I am the Virgin Mary, mother of the child Jes",6
"In each of them sat one of the Apostles in the midst of a great light, and she rejoiced in all the magnificence and splendour, and the little angels who always accompanied her rejoiced with h",4
Immediately a great fear fell on h,3
"Her terror too would not quit her, let her do what she might, and her heart beat continually and would not be still; the gold too stayed on her finger, and would not go away, let her rub it and wash it never so mu",3
"She wanted to cry out, but she could bring forth no sou",6
"Here, too, she found a shelter from storm and rain, but it was a miserable life, and bitterly did she weep when she remembered how happy she had been in heaven, and how the angels had played with h",6
"When the Queen rejoiced thereat, the Virgin Mary said, ""Is thy heart not yet soften",4
"As he now feared that the step-mother might not treat them well, and even do them some injury, he took them to a lonely castle which stood in the midst of a fore",3
"Then the maiden looked at them and recognized her brothers, was glad and crept forth from beneath the b",4
"The brothers were not less delighted to see their little sister, but their joy was of short durati",4
"The little sister wept and said, ""Can you not be set fre",6
"The King, however, had a wicked mother who was dissatisfied with this marriage and spoke ill of the young Que",2
"Then she saw that her deliverance was near, and her heart leapt with j",4
"The kernel, however, was so large that she could not swallow it, and it remained sticking in her throat, so that she was alarmed lest she should be choke",3
"Then the cock was so distressed that he cried aloud, and every animal came to lament the little hen, and six mice built a little carriage to carry her to her grave, and when the carriage was ready they harnessed themselves to it, and the cock drov",6
"When a stone saw that, it took pity on the little cock, wished to help him, and laid itself over the wate",6
"This pleased the Lord, and he went in",4
"When the cloth was laid, the Lord sat down with the man and his wife, and he enjoyed their coarse food, for there were happy faces at the table",4
"""Oh, yes,"" said the man; ""if I can have that, too, I should like it very much.",4
"He was very much astonished, and called his wife and said to her, ""Tell me, what can have happened",7
"Then at last he was angry, and cried quite impatiently, ""I wish your neck was broken!",2
"And now as he was walking slowly through the sand, and the sun was burning hot at noon-day, he grew quite hot-tempered and angry",2
Then he really did feel warm,2
"So he got nothing by it but vexation, trouble, abuse, and the loss of his horse; but the poor people lived happily, quietly, and piously until their happy death",4
"Then the miser grew angry, and said, ""Oh, but I can""t make any use of you, you strike far too powerfully; what will you have for the one blow?",2
"As he was hungry, and saw the food, he, too, place himself at the table, ate with those who were eating and enjoyed it",4
"She cried, ""No, no I cannot bear it,"" and opened the other window, because drops of perspiration were running down her forehead",3
"And while she was speaking, the child plucked off quite a large apple, and ran to her sisters, saying, ""Just taste, my dear little sisters, for never in my life have I tasted anything so delightful.",4
"Then he was much troubled, and made known to the whole land that whosoever brought his daughters back again should have one of them to wife",6
"Then the mannikin grew very angry and said he was to do it, but the huntsman would not, and took my dear mannikin, and gave him a thorough beating",2
"Then the mannikin screamed terribly, and cried, ""Stop, stop, and let me go, and I will tell thee where the King""s daughters are.",3
Then the two were so angry at this that they grew green and yellow,2
"The princess sprang up, threw her arms round his neck, embraced and kissed him repeatedly, and took her stomacher, which was made of pure gold, and hung it round his neck",4
"And they all rejoiced, and embraced him and kissed him without stopping",4
When the princesses saw him they fainted,7
"Hereupon the King was angry, and ordered him to be put in prison at once, because he thought he must have done some injury to the children",2
"When the two heard that, they were frightened to death, and ran away in great haste",3
"Then the King grew angry, and ordered his wife to be cast into prison, and therein was she shut up for many long years",2
"Hereupon he was much troubled, and asked the old fisherman if that was true",6
"And now there was no one at home but the daughter, and she mourned for her brothers so much that at last she also begged the fisherman to let her set forth, for she wished to go in search of her brothers",6
"She rejoiced much to see them again, and carried them all over the water, and then she too went away, for now she was freed",4
"The others, however, went to the old fisherman, and all were glad that they had found each other again, but they hung the bird on the wall",4
"Then they were all terrified, and the King took the bird, the fisherman and the three children back with him to the castle, and ordered the prison to be opened and brought his wife out again",3
"Soon afterwards she shut her eyes and died, and was buried in the garden; and the little girl went every day to her grave and wept, and was always good and kind to all about her",6
"Then she took it, and went to her mother""s grave and planted it there; and cried so much that it was watered with her tears; and there it grew and became a fine tree",6
"Then she did as she was told; but when all was done she could not help crying, for she thought to herself, she should so have liked to have gone with them to the ball; and at last she begged her mother very hard to let her go",6
"Then Ashputtel brought the dish to her mother, overjoyed at the thought that now she should go to the ball",4
"But the mother said, ""No, no! you slut, you have no clothes, and cannot dance; you shall not go.",2
"And then Ashputtel took the dishes to her mother, rejoicing to think that she should now go to the ball",4
"But her mother said, ""It is all of no use, you cannot go; you have no clothes, and cannot dance, and you would only put us to shame"": and off she went with her two daughters to the ball",2
"Now when all were gone, and nobody left at home, Ashputtel went sorrowfully and sat down under the hazel-tree, and cried out",6
"Then both the sisters were overjoyed to hear it; for they had beautiful feet, and had no doubt that they could wear the golden slipper",4
"Then the prince got down and looked at her foot; and he saw, by the blood that streamed from it, what a trick she had played him",7
"""No,"" said he; ""there is only a little dirty Ashputtel here, the child of my first wife; I am sure she cannot be the bride.",2
"And when he drew near and looked at her face he knew her, and said, ""This is the right bride.",4
"Now this king and queen had plenty of money, and plenty of fine clothes to wear, and plenty of good things to eat and drink, and a coach to ride out in every day: but though they had been married many years they had no children, and this grieved them very much indeed",6
"Then the queen took pity on the little fish, and threw it back again into the river; and before it swam away it lifted its head out of the water and said, ""I know what your wish is, and it shall be fulfilled, in return for your kindness to me--you will soon have a daughter.",4
"What the little fish had foretold soon came to pass; and the queen had a little girl, so very beautiful that the king could not cease looking on it for joy, and said he would hold a great feast and make merry, and show the child to all the land",4
"Now, as she had not been asked to the feast she was very angry, and scolded the king and queen very much, and set to work to take her revenge",2
"So she cried out, ""The king""s daughter shall, in her fifteenth year, be wounded by a spindle, and fall down dead.",2
"However, the king hoped still to save his dear child altogether from the threatened evil; so he ordered that all the spindles in the kingdom should be bought up and burnt",3
"She looked so beautiful that he could not take his eyes off her, so he stooped down and gave her a kiss",4
"But the moment he kissed her she opened her eyes and awoke, and smiled upon him; and they went out together; and soon the king and queen also awoke, and all the court, and gazed on each other with great wonder",4
"And then the prince and Briar Rose were married, and the wedding feast was given; and they lived happily together all their lives long",4
"A certain cat had made the acquaintance of a mouse, and had said so much to her about the great love and friendship she felt for her, that at length the mouse agreed that they should live and keep house together",4
"""All went off well,"" answered the cat",4
"""Top off!"" cried the mouse, ""that is a very odd and uncommon name, is it a usual one in your family?",7
"""What does that matter,"" said the cat, ""it is no worse than Crumb-stealer, as your godchildren are called.",2
"""Nothing ever seems so good as what one keeps to oneself,"" said she, and was quite satisfied with her day""s work",4
"I never heard the name in my life, I""ll wager anything it is not in the calendar!",7
"""You sit at home,"" said the cat, ""in your dark-grey fur coat and long tail, and are filled with fancies, that""s because you do not go out in the daytime.",2
"""When everything is eaten up one has some peace,"" said she to herself, and well filled and fat she did not return home till night",4
"""All-gone,"" cried the mouse ""that is the most suspicious name of all",7
"From this time forth no one invited the cat to be godmother, but when the winter had come and there was no longer anything to be found outside, the mouse thought of their provision, and said: ""Come, cat, we will go to our pot of fat which we have stored up for ourselves--we shall enjoy that.",4
"""Yes,"" answered the cat, ""you will enjoy it as much as you would enjoy sticking that dainty tongue of yours out of the window.",2
"""Alas!"" said the mouse, ""now I see what has happened, now it comes to light",7
You a true friend,7
